Enlem;Boylam;Z_Anomali(m)
41.05758353;29.65410896;"=""26.65"""
41.05758353;29.65446634;"=""26.43"""
41.05758353;29.65482373;"=""25.99"""
41.05758353;29.65518111;"=""25.27"""
41.05758353;29.65553850;"=""24.09"""
41.05758353;29.65589588;"=""22.34"""
41.05758353;29.65625327;"=""20.20"""
41.05758353;29.65661066;"=""18.05"""
41.05758353;29.65696804;"=""16.33"""
41.05758353;29.65732543;"=""15.28"""
41.05758353;29.65768281;"=""14.97"""
41.05758353;29.65804020;"=""15.26"""
41.05758353;29.65839758;"=""15.95"""
41.05758353;29.65875497;"=""16.81"""
41.05758353;29.65911235;"=""17.67"""
41.05758353;29.65946974;"=""18.45"""
41.05758353;29.65982713;"=""19.13"""
41.05758353;29.66018451;"=""19.66"""
41.05758353;29.66054190;"=""20.01"""
41.05758353;29.66089928;"=""20.16"""
41.05758353;29.66125667;"=""20.09"""
41.05758353;29.66161405;"=""19.83"""
41.05758353;29.66197144;"=""19.38"""
41.05758353;29.66232882;"=""18.70"""
41.05758353;29.66268621;"=""17.75"""
41.05758353;29.66304360;"=""16.46"""
41.05758353;29.66340098;"=""14.78"""
41.05758353;29.66375837;"=""12.74"""
41.05758353;29.66411575;"=""10.41"""
41.05758353;29.66447314;"=""8.00"""
41.05758353;29.66483052;"=""5.73"""
41.05758353;29.66518791;"=""3.83"""
41.05758353;29.66554530;"=""2.35"""
41.05758353;29.66590268;"=""1.16"""
41.05758353;29.66626007;"=""-0.01"""
41.05758353;29.66661745;"=""-1.42"""
41.05758353;29.66697484;"=""-3.21"""
41.05758353;29.66733222;"=""-5.32"""
41.05758353;29.66768961;"=""-7.57"""
41.05758353;29.66804699;"=""-9.67"""
41.05758353;29.66840438;"=""-11.35"""
41.05758353;29.66876177;"=""-12.44"""
41.05758353;29.66911915;"=""-12.96"""
41.05758353;29.66947654;"=""-13.02"""
41.05758353;29.66983392;"=""-12.77"""
41.05758353;29.67019131;"=""-12.31"""
41.05758353;29.67054869;"=""-11.71"""
41.05758353;29.67090608;"=""-11.02"""
41.05758353;29.67126346;"=""-10.28"""
41.05758353;29.67162085;"=""-9.58"""
41.05758353;29.67197824;"=""-8.99"""
41.05758353;29.67233562;"=""-8.58"""
41.05758353;29.67269301;"=""-8.35"""
41.05758353;29.67305039;"=""-8.24"""
41.05758353;29.67340778;"=""-8.13"""
41.05758353;29.67376516;"=""-7.91"""
41.05758353;29.67412255;"=""-7.51"""
41.05758353;29.67447993;"=""-6.92"""
41.05758353;29.67483732;"=""-6.23"""
41.05758353;29.67519471;"=""-5.64"""
41.05758353;29.67555209;"=""-5.43"""
41.05758353;29.67590948;"=""-5.84"""
41.05758353;29.67626686;"=""-6.96"""
41.05758353;29.67662425;"=""-8.69"""
41.05758353;29.67698163;"=""-10.80"""
41.05758353;29.67733902;"=""-13.00"""
41.05758353;29.67769641;"=""-15.07"""
41.05758353;29.67805379;"=""-16.89"""
41.05758353;29.67841118;"=""-18.43"""
41.05758353;29.67876856;"=""-19.72"""
41.05758353;29.67912595;"=""-20.69"""
41.05758353;29.67948333;"=""-21.24"""
41.05731404;29.65410896;"=""26.11"""
41.05731404;29.65446634;"=""25.79"""
41.05731404;29.65482373;"=""25.23"""
41.05731404;29.65518111;"=""24.41"""
41.05731404;29.65553850;"=""23.20"""
41.05731404;29.65589588;"=""21.49"""
41.05731404;29.65625327;"=""19.39"""
41.05731404;29.65661066;"=""17.26"""
41.05731404;29.65696804;"=""15.48"""
41.05731404;29.65732543;"=""14.32"""
41.05731404;29.65768281;"=""13.87"""
41.05731404;29.65804020;"=""14.05"""
41.05731404;29.65839758;"=""14.68"""
41.05731404;29.65875497;"=""15.55"""
41.05731404;29.65911235;"=""16.50"""
41.05731404;29.65946974;"=""17.40"""
41.05731404;29.65982713;"=""18.21"""
41.05731404;29.66018451;"=""18.88"""
41.05731404;29.66054190;"=""19.38"""
41.05731404;29.66089928;"=""19.70"""
41.05731404;29.66125667;"=""19.83"""
41.05731404;29.66161405;"=""19.78"""
41.05731404;29.66197144;"=""19.50"""
41.05731404;29.66232882;"=""18.95"""
41.05731404;29.66268621;"=""18.05"""
41.05731404;29.66304360;"=""16.77"""
41.05731404;29.66340098;"=""15.12"""
41.05731404;29.66375837;"=""13.14"""
41.05731404;29.66411575;"=""10.95"""
41.05731404;29.66447314;"=""8.75"""
41.05731404;29.66483052;"=""6.74"""
41.05731404;29.66518791;"=""5.12"""
41.05731404;29.66554530;"=""3.90"""
41.05731404;29.66590268;"=""2.92"""
41.05731404;29.66626007;"=""1.90"""
41.05731404;29.66661745;"=""0.58"""
41.05731404;29.66697484;"=""-1.19"""
41.05731404;29.66733222;"=""-3.37"""
41.05731404;29.66768961;"=""-5.78"""
41.05731404;29.66804699;"=""-8.12"""
41.05731404;29.66840438;"=""-10.11"""
41.05731404;29.66876177;"=""-11.59"""
41.05731404;29.66911915;"=""-12.51"""
41.05731404;29.66947654;"=""-12.97"""
41.05731404;29.66983392;"=""-13.09"""
41.05731404;29.67019131;"=""-12.94"""
41.05731404;29.67054869;"=""-12.57"""
41.05731404;29.67090608;"=""-12.04"""
41.05731404;29.67126346;"=""-11.42"""
41.05731404;29.67162085;"=""-10.80"""
41.05731404;29.67197824;"=""-10.28"""
41.05731404;29.67233562;"=""-9.93"""
41.05731404;29.67269301;"=""-9.73"""
41.05731404;29.67305039;"=""-9.59"""
41.05731404;29.67340778;"=""-9.40"""
41.05731404;29.67376516;"=""-9.05"""
41.05731404;29.67412255;"=""-8.51"""
41.05731404;29.67447993;"=""-7.79"""
41.05731404;29.67483732;"=""-7.01"""
41.05731404;29.67519471;"=""-6.39"""
41.05731404;29.67555209;"=""-6.18"""
41.05731404;29.67590948;"=""-6.60"""
41.05731404;29.67626686;"=""-7.74"""
41.05731404;29.67662425;"=""-9.46"""
41.05731404;29.67698163;"=""-11.51"""
41.05731404;29.67733902;"=""-13.63"""
41.05731404;29.67769641;"=""-15.59"""
41.05731404;29.67805379;"=""-17.30"""
41.05731404;29.67841118;"=""-18.75"""
