Enlem;Boylam;Z_Anomali(m);X_metre;Y_metre;Tip;Potansiyel
41.05758353;29.65410896;"=""26.65""";0.0;0.0;YUKSELTI;YUKSEK
41.05758353;29.65446634;"=""26.43""";30.0;0.0;YUKSELTI;YUKSEK
41.05758353;29.65482373;"=""25.99""";60.0;0.0;YUKSELTI;YUKSEK
41.05758353;29.65518111;"=""25.27""";90.0;0.0;YUKSELTI;YUKSEK
41.05758353;29.65553850;"=""24.09""";120.0;0.0;YUKSELTI;YUKSEK
41.05758353;29.65589588;"=""22.34""";150.0;0.0;YUKSELTI;YUKSEK
41.05758353;29.65625327;"=""20.20""";180.0;0.0;YUKSELTI;YUKSEK
41.05758353;29.65661066;"=""18.05""";210.0;0.0;YUKSELTI;ORTA
41.05758353;29.65696804;"=""16.33""";240.0;0.0;YUKSELTI;ORTA
41.05758353;29.65732543;"=""15.28""";270.0;0.0;YUKSELTI;ORTA
41.05758353;29.65768281;"=""14.97""";300.0;0.0;YUKSELTI;ORTA
41.05758353;29.65804020;"=""15.26""";330.0;0.0;YUKSELTI;ORTA
41.05758353;29.65839758;"=""15.95""";360.0;0.0;YUKSELTI;ORTA
41.05758353;29.65875497;"=""16.81""";390.0;0.0;YUKSELTI;ORTA
41.05758353;29.65911235;"=""17.67""";420.0;0.0;YUKSELTI;ORTA
41.05758353;29.65946974;"=""18.45""";450.0;0.0;YUKSELTI;ORTA
41.05758353;29.65982713;"=""19.13""";480.0;0.0;YUKSELTI;ORTA
41.05758353;29.66018451;"=""19.66""";510.0;0.0;YUKSELTI;ORTA
41.05758353;29.66054190;"=""20.01""";540.0;0.0;YUKSELTI;YUKSEK
41.05758353;29.66089928;"=""20.16""";570.0;0.0;YUKSELTI;YUKSEK
41.05758353;29.66125667;"=""20.09""";600.0;0.0;YUKSELTI;YUKSEK
41.05758353;29.66161405;"=""19.83""";630.0;0.0;YUKSELTI;ORTA
41.05758353;29.66197144;"=""19.38""";660.0;0.0;YUKSELTI;ORTA
41.05758353;29.66232882;"=""18.70""";690.0;0.0;YUKSELTI;ORTA
41.05758353;29.66268621;"=""17.75""";720.0;0.0;YUKSELTI;ORTA
41.05758353;29.66304360;"=""16.46""";750.0;0.0;YUKSELTI;ORTA
41.05758353;29.66340098;"=""14.78""";780.0;0.0;YUKSELTI;ORTA
41.05758353;29.66375837;"=""12.74""";810.0;0.0;YUKSELTI;ORTA
41.05758353;29.66411575;"=""10.41""";840.0;0.0;YUKSELTI;ORTA
41.05758353;29.66447314;"=""8.00""";870.0;0.0;YUKSELTI;DUSUK
41.05758353;29.66483052;"=""5.73""";900.0;0.0;YUKSELTI;DUSUK
41.05758353;29.66518791;"=""3.83""";930.0;0.0;NORMAL;ONEMSIZ
41.05758353;29.66554530;"=""2.35""";960.0;0.0;NORMAL;ONEMSIZ
41.05758353;29.66590268;"=""1.16""";990.0;0.0;NORMAL;ONEMSIZ
41.05758353;29.66626007;"=""-0.01""";1020.0;0.0;NORMAL;ONEMSIZ
41.05758353;29.66661745;"=""-1.42""";1050.0;0.0;NORMAL;ONEMSIZ
41.05758353;29.66697484;"=""-3.21""";1080.0;0.0;NORMAL;ONEMSIZ
41.05758353;29.66733222;"=""-5.32""";1110.0;0.0;COKUNTU;DUSUK
41.05758353;29.66768961;"=""-7.57""";1140.0;0.0;COKUNTU;DUSUK
41.05758353;29.66804699;"=""-9.67""";1170.0;0.0;COKUNTU;DUSUK
41.05758353;29.66840438;"=""-11.35""";1200.0;0.0;COKUNTU;ORTA
41.05758353;29.66876177;"=""-12.44""";1230.0;0.0;COKUNTU;ORTA
41.05758353;29.66911915;"=""-12.96""";1260.0;0.0;COKUNTU;ORTA
41.05758353;29.66947654;"=""-13.02""";1290.0;0.0;COKUNTU;ORTA
41.05758353;29.66983392;"=""-12.77""";1320.0;0.0;COKUNTU;ORTA
41.05758353;29.67019131;"=""-12.31""";1350.0;0.0;COKUNTU;ORTA
41.05758353;29.67054869;"=""-11.71""";1380.0;0.0;COKUNTU;ORTA
41.05758353;29.67090608;"=""-11.02""";1410.0;0.0;COKUNTU;ORTA
41.05758353;29.67126346;"=""-10.28""";1440.0;0.0;COKUNTU;ORTA
41.05758353;29.67162085;"=""-9.58""";1470.0;0.0;COKUNTU;DUSUK
41.05758353;29.67197824;"=""-8.99""";1500.0;0.0;COKUNTU;DUSUK
41.05758353;29.67233562;"=""-8.58""";1530.0;0.0;COKUNTU;DUSUK
41.05758353;29.67269301;"=""-8.35""";1560.0;0.0;COKUNTU;DUSUK
41.05758353;29.67305039;"=""-8.24""";1590.0;0.0;COKUNTU;DUSUK
41.05758353;29.67340778;"=""-8.13""";1620.0;0.0;COKUNTU;DUSUK
41.05758353;29.67376516;"=""-7.91""";1650.0;0.0;COKUNTU;DUSUK
41.05758353;29.67412255;"=""-7.51""";1680.0;0.0;COKUNTU;DUSUK
41.05758353;29.67447993;"=""-6.92""";1710.0;0.0;COKUNTU;DUSUK
41.05758353;29.67483732;"=""-6.23""";1740.0;0.0;COKUNTU;DUSUK
41.05758353;29.67519471;"=""-5.64""";1770.0;0.0;COKUNTU;DUSUK
41.05758353;29.67555209;"=""-5.43""";1800.0;0.0;COKUNTU;DUSUK
41.05758353;29.67590948;"=""-5.84""";1830.0;0.0;COKUNTU;DUSUK
41.05758353;29.67626686;"=""-6.96""";1860.0;0.0;COKUNTU;DUSUK
41.05758353;29.67662425;"=""-8.69""";1890.0;0.0;COKUNTU;DUSUK
41.05758353;29.67698163;"=""-10.80""";1920.0;0.0;COKUNTU;ORTA
41.05758353;29.67733902;"=""-13.00""";1950.0;0.0;COKUNTU;ORTA
41.05758353;29.67769641;"=""-15.07""";1980.0;0.0;COKUNTU;ORTA
41.05758353;29.67805379;"=""-16.89""";2010.0;0.0;COKUNTU;ORTA
41.05758353;29.67841118;"=""-18.43""";2040.0;0.0;COKUNTU;ORTA
41.05758353;29.67876856;"=""-19.72""";2070.0;0.0;COKUNTU;ORTA
41.05758353;29.67912595;"=""-20.69""";2100.0;0.0;COKUNTU;YUKSEK
41.05758353;29.67948333;"=""-21.24""";2130.0;0.0;COKUNTU;YUKSEK
41.05731404;29.65410896;"=""26.11""";0.0;30.0;YUKSELTI;YUKSEK
41.05731404;29.65446634;"=""25.79""";30.0;30.0;YUKSELTI;YUKSEK
41.05731404;29.65482373;"=""25.23""";60.0;30.0;YUKSELTI;YUKSEK
41.05731404;29.65518111;"=""24.41""";90.0;30.0;YUKSELTI;YUKSEK
41.05731404;29.65553850;"=""23.20""";120.0;30.0;YUKSELTI;YUKSEK
41.05731404;29.65589588;"=""21.49""";150.0;30.0;YUKSELTI;YUKSEK
41.05731404;29.65625327;"=""19.39""";180.0;30.0;YUKSELTI;ORTA
41.05731404;29.65661066;"=""17.26""";210.0;30.0;YUKSELTI;ORTA
41.05731404;29.65696804;"=""15.48""";240.0;30.0;YUKSELTI;ORTA
41.05731404;29.65732543;"=""14.32""";270.0;30.0;YUKSELTI;ORTA
41.05731404;29.65768281;"=""13.87""";300.0;30.0;YUKSELTI;ORTA
41.05731404;29.65804020;"=""14.05""";330.0;30.0;YUKSELTI;ORTA
41.05731404;29.65839758;"=""14.68""";360.0;30.0;YUKSELTI;ORTA
41.05731404;29.65875497;"=""15.55""";390.0;30.0;YUKSELTI;ORTA
41.05731404;29.65911235;"=""16.50""";420.0;30.0;YUKSELTI;ORTA
41.05731404;29.65946974;"=""17.40""";450.0;30.0;YUKSELTI;ORTA
41.05731404;29.65982713;"=""18.21""";480.0;30.0;YUKSELTI;ORTA
41.05731404;29.66018451;"=""18.88""";510.0;30.0;YUKSELTI;ORTA
41.05731404;29.66054190;"=""19.38""";540.0;30.0;YUKSELTI;ORTA
41.05731404;29.66089928;"=""19.70""";570.0;30.0;YUKSELTI;ORTA
41.05731404;29.66125667;"=""19.83""";600.0;30.0;YUKSELTI;ORTA
41.05731404;29.66161405;"=""19.78""";630.0;30.0;YUKSELTI;ORTA
41.05731404;29.66197144;"=""19.50""";660.0;30.0;YUKSELTI;ORTA
41.05731404;29.66232882;"=""18.95""";690.0;30.0;YUKSELTI;ORTA
41.05731404;29.66268621;"=""18.05""";720.0;30.0;YUKSELTI;ORTA
41.05731404;29.66304360;"=""16.77""";750.0;30.0;YUKSELTI;ORTA
41.05731404;29.66340098;"=""15.12""";780.0;30.0;YUKSELTI;ORTA
41.05731404;29.66375837;"=""13.14""";810.0;30.0;YUKSELTI;ORTA
41.05731404;29.66411575;"=""10.95""";840.0;30.0;YUKSELTI;ORTA
41.05731404;29.66447314;"=""8.75""";870.0;30.0;YUKSELTI;DUSUK
41.05731404;29.66483052;"=""6.74""";900.0;30.0;YUKSELTI;DUSUK
41.05731404;29.66518791;"=""5.12""";930.0;30.0;YUKSELTI;DUSUK
41.05731404;29.66554530;"=""3.90""";960.0;30.0;NORMAL;ONEMSIZ
41.05731404;29.66590268;"=""2.92""";990.0;30.0;NORMAL;ONEMSIZ
41.05731404;29.66626007;"=""1.90""";1020.0;30.0;NORMAL;ONEMSIZ
41.05731404;29.66661745;"=""0.58""";1050.0;30.0;NORMAL;ONEMSIZ
41.05731404;29.66697484;"=""-1.19""";1080.0;30.0;NORMAL;ONEMSIZ
41.05731404;29.66733222;"=""-3.37""";1110.0;30.0;NORMAL;ONEMSIZ
41.05731404;29.66768961;"=""-5.78""";1140.0;30.0;COKUNTU;DUSUK
41.05731404;29.66804699;"=""-8.12""";1170.0;30.0;COKUNTU;DUSUK
41.05731404;29.66840438;"=""-10.11""";1200.0;30.0;COKUNTU;ORTA
41.05731404;29.66876177;"=""-11.59""";1230.0;30.0;COKUNTU;ORTA
41.05731404;29.66911915;"=""-12.51""";1260.0;30.0;COKUNTU;ORTA
41.05731404;29.66947654;"=""-12.97""";1290.0;30.0;COKUNTU;ORTA
41.05731404;29.66983392;"=""-13.09""";1320.0;30.0;COKUNTU;ORTA
41.05731404;29.67019131;"=""-12.94""";1350.0;30.0;COKUNTU;ORTA
41.05731404;29.67054869;"=""-12.57""";1380.0;30.0;COKUNTU;ORTA
41.05731404;29.67090608;"=""-12.04""";1410.0;30.0;COKUNTU;ORTA
41.05731404;29.67126346;"=""-11.42""";1440.0;30.0;COKUNTU;ORTA
41.05731404;29.67162085;"=""-10.80""";1470.0;30.0;COKUNTU;ORTA
41.05731404;29.67197824;"=""-10.28""";1500.0;30.0;COKUNTU;ORTA
41.05731404;29.67233562;"=""-9.93""";1530.0;30.0;COKUNTU;DUSUK
41.05731404;29.67269301;"=""-9.73""";1560.0;30.0;COKUNTU;DUSUK
41.05731404;29.67305039;"=""-9.59""";1590.0;30.0;COKUNTU;DUSUK
41.05731404;29.67340778;"=""-9.40""";1620.0;30.0;COKUNTU;DUSUK
41.05731404;29.67376516;"=""-9.05""";1650.0;30.0;COKUNTU;DUSUK
41.05731404;29.67412255;"=""-8.51""";1680.0;30.0;COKUNTU;DUSUK
41.05731404;29.67447993;"=""-7.79""";1710.0;30.0;COKUNTU;DUSUK
41.05731404;29.67483732;"=""-7.01""";1740.0;30.0;COKUNTU;DUSUK
41.05731404;29.67519471;"=""-6.39""";1770.0;30.0;COKUNTU;DUSUK
41.05731404;29.67555209;"=""-6.18""";1800.0;30.0;COKUNTU;DUSUK
41.05731404;29.67590948;"=""-6.60""";1830.0;30.0;COKUNTU;DUSUK
41.05731404;29.67626686;"=""-7.74""";1860.0;30.0;COKUNTU;DUSUK
41.05731404;29.67662425;"=""-9.46""";1890.0;30.0;COKUNTU;DUSUK
41.05731404;29.67698163;"=""-11.51""";1920.0;30.0;COKUNTU;ORTA
41.05731404;29.67733902;"=""-13.63""";1950.0;30.0;COKUNTU;ORTA
41.05731404;29.67769641;"=""-15.59""";1980.0;30.0;COKUNTU;ORTA
41.05731404;29.67805379;"=""-17.30""";2010.0;30.0;COKUNTU;ORTA
41.05731404;29.67841118;"=""-18.75""";2040.0;30.0;COKUNTU;ORTA
41.05731404;29.67876856;"=""-19.96""";2070.0;30.0;COKUNTU;ORTA
41.05731404;29.67912595;"=""-20.90""";2100.0;30.0;COKUNTU;YUKSEK
41.05731404;29.67948333;"=""-21.43""";2130.0;30.0;COKUNTU;YUKSEK
41.05704455;29.65410896;"=""25.13""";0.0;60.0;YUKSELTI;YUKSEK
41.05704455;29.65446634;"=""24.64""";30.0;60.0;YUKSELTI;YUKSEK
41.05704455;29.65482373;"=""23.83""";60.0;60.0;YUKSELTI;YUKSEK
41.05704455;29.65518111;"=""22.81""";90.0;60.0;YUKSELTI;YUKSEK
41.05704455;29.65553850;"=""21.52""";120.0;60.0;YUKSELTI;YUKSEK
41.05704455;29.65589588;"=""19.87""";150.0;60.0;YUKSELTI;ORTA
41.05704455;29.65625327;"=""17.90""";180.0;60.0;YUKSELTI;ORTA
41.05704455;29.65661066;"=""15.84""";210.0;60.0;YUKSELTI;ORTA
41.05704455;29.65696804;"=""14.03""";240.0;60.0;YUKSELTI;ORTA
41.05704455;29.65732543;"=""12.74""";270.0;60.0;YUKSELTI;ORTA
41.05704455;29.65768281;"=""12.09""";300.0;60.0;YUKSELTI;ORTA
41.05704455;29.65804020;"=""12.08""";330.0;60.0;YUKSELTI;ORTA
41.05704455;29.65839758;"=""12.58""";360.0;60.0;YUKSELTI;ORTA
41.05704455;29.65875497;"=""13.43""";390.0;60.0;YUKSELTI;ORTA
41.05704455;29.65911235;"=""14.44""";420.0;60.0;YUKSELTI;ORTA
41.05704455;29.65946974;"=""15.49""";450.0;60.0;YUKSELTI;ORTA
41.05704455;29.65982713;"=""16.48""";480.0;60.0;YUKSELTI;ORTA
41.05704455;29.66018451;"=""17.35""";510.0;60.0;YUKSELTI;ORTA
41.05704455;29.66054190;"=""18.09""";540.0;60.0;YUKSELTI;ORTA
41.05704455;29.66089928;"=""18.70""";570.0;60.0;YUKSELTI;ORTA
41.05704455;29.66125667;"=""19.18""";600.0;60.0;YUKSELTI;ORTA
41.05704455;29.66161405;"=""19.47""";630.0;60.0;YUKSELTI;ORTA
41.05704455;29.66197144;"=""19.49""";660.0;60.0;YUKSELTI;ORTA
41.05704455;29.66232882;"=""19.12""";690.0;60.0;YUKSELTI;ORTA
41.05704455;29.66268621;"=""18.29""";720.0;60.0;YUKSELTI;ORTA
41.05704455;29.66304360;"=""17.02""";750.0;60.0;YUKSELTI;ORTA
41.05704455;29.66340098;"=""15.39""";780.0;60.0;YUKSELTI;ORTA
41.05704455;29.66375837;"=""13.53""";810.0;60.0;YUKSELTI;ORTA
41.05704455;29.66411575;"=""11.60""";840.0;60.0;YUKSELTI;ORTA
41.05704455;29.66447314;"=""9.79""";870.0;60.0;YUKSELTI;DUSUK
41.05704455;29.66483052;"=""8.29""";900.0;60.0;YUKSELTI;DUSUK
41.05704455;29.66518791;"=""7.18""";930.0;60.0;YUKSELTI;DUSUK
41.05704455;29.66554530;"=""6.43""";960.0;60.0;YUKSELTI;DUSUK
41.05704455;29.66590268;"=""5.84""";990.0;60.0;YUKSELTI;DUSUK
41.05704455;29.66626007;"=""5.12""";1020.0;60.0;YUKSELTI;DUSUK
41.05704455;29.66661745;"=""4.00""";1050.0;60.0;NORMAL;ONEMSIZ
41.05704455;29.66697484;"=""2.31""";1080.0;60.0;NORMAL;ONEMSIZ
41.05704455;29.66733222;"=""0.08""";1110.0;60.0;NORMAL;ONEMSIZ
41.05704455;29.66768961;"=""-2.51""";1140.0;60.0;NORMAL;ONEMSIZ
41.05704455;29.66804699;"=""-5.19""";1170.0;60.0;COKUNTU;DUSUK
41.05704455;29.66840438;"=""-7.67""";1200.0;60.0;COKUNTU;DUSUK
41.05704455;29.66876177;"=""-9.74""";1230.0;60.0;COKUNTU;DUSUK
41.05704455;29.66911915;"=""-11.31""";1260.0;60.0;COKUNTU;ORTA
41.05704455;29.66947654;"=""-12.43""";1290.0;60.0;COKUNTU;ORTA
41.05704455;29.66983392;"=""-13.16""";1320.0;60.0;COKUNTU;ORTA
41.05704455;29.67019131;"=""-13.56""";1350.0;60.0;COKUNTU;ORTA
41.05704455;29.67054869;"=""-13.65""";1380.0;60.0;COKUNTU;ORTA
41.05704455;29.67090608;"=""-13.48""";1410.0;60.0;COKUNTU;ORTA
41.05704455;29.67126346;"=""-13.14""";1440.0;60.0;COKUNTU;ORTA
41.05704455;29.67162085;"=""-12.74""";1470.0;60.0;COKUNTU;ORTA
41.05704455;29.67197824;"=""-12.39""";1500.0;60.0;COKUNTU;ORTA
41.05704455;29.67233562;"=""-12.16""";1530.0;60.0;COKUNTU;ORTA
41.05704455;29.67269301;"=""-12.02""";1560.0;60.0;COKUNTU;ORTA
41.05704455;29.67305039;"=""-11.86""";1590.0;60.0;COKUNTU;ORTA
41.05704455;29.67340778;"=""-11.56""";1620.0;60.0;COKUNTU;ORTA
41.05704455;29.67376516;"=""-11.03""";1650.0;60.0;COKUNTU;ORTA
41.05704455;29.67412255;"=""-10.28""";1680.0;60.0;COKUNTU;ORTA
41.05704455;29.67447993;"=""-9.38""";1710.0;60.0;COKUNTU;DUSUK
41.05704455;29.67483732;"=""-8.47""";1740.0;60.0;COKUNTU;DUSUK
41.05704455;29.67519471;"=""-7.78""";1770.0;60.0;COKUNTU;DUSUK
41.05704455;29.67555209;"=""-7.55""";1800.0;60.0;COKUNTU;DUSUK
41.05704455;29.67590948;"=""-7.99""";1830.0;60.0;COKUNTU;DUSUK
41.05704455;29.67626686;"=""-9.12""";1860.0;60.0;COKUNTU;DUSUK
41.05704455;29.67662425;"=""-10.79""";1890.0;60.0;COKUNTU;ORTA
41.05704455;29.67698163;"=""-12.74""";1920.0;60.0;COKUNTU;ORTA
41.05704455;29.67733902;"=""-14.70""";1950.0;60.0;COKUNTU;ORTA
41.05704455;29.67769641;"=""-16.47""";1980.0;60.0;COKUNTU;ORTA
41.05704455;29.67805379;"=""-17.99""";2010.0;60.0;COKUNTU;ORTA
41.05704455;29.67841118;"=""-19.28""";2040.0;60.0;COKUNTU;ORTA
41.05704455;29.67876856;"=""-20.38""";2070.0;60.0;COKUNTU;YUKSEK
41.05704455;29.67912595;"=""-21.25""";2100.0;60.0;COKUNTU;YUKSEK
41.05704455;29.67948333;"=""-21.75""";2130.0;60.0;COKUNTU;YUKSEK
41.05677505;29.65410896;"=""23.82""";0.0;90.0;YUKSELTI;YUKSEK
41.05677505;29.65446634;"=""23.14""";30.0;90.0;YUKSELTI;YUKSEK
41.05677505;29.65482373;"=""22.03""";60.0;90.0;YUKSELTI;YUKSEK
41.05677505;29.65518111;"=""20.76""";90.0;90.0;YUKSELTI;YUKSEK
41.05677505;29.65553850;"=""19.39""";120.0;90.0;YUKSELTI;ORTA
41.05677505;29.65589588;"=""17.85""";150.0;90.0;YUKSELTI;ORTA
41.05677505;29.65625327;"=""16.09""";180.0;90.0;YUKSELTI;ORTA
41.05677505;29.65661066;"=""14.25""";210.0;90.0;YUKSELTI;ORTA
41.05677505;29.65696804;"=""12.54""";240.0;90.0;YUKSELTI;ORTA
41.05677505;29.65732543;"=""11.19""";270.0;90.0;YUKSELTI;ORTA
41.05677505;29.65768281;"=""10.36""";300.0;90.0;YUKSELTI;ORTA
41.05677505;29.65804020;"=""10.10""";330.0;90.0;YUKSELTI;ORTA
41.05677505;29.65839758;"=""10.36""";360.0;90.0;YUKSELTI;ORTA
41.05677505;29.65875497;"=""11.02""";390.0;90.0;YUKSELTI;ORTA
41.05677505;29.65911235;"=""11.96""";420.0;90.0;YUKSELTI;ORTA
41.05677505;29.65946974;"=""13.03""";450.0;90.0;YUKSELTI;ORTA
41.05677505;29.65982713;"=""14.13""";480.0;90.0;YUKSELTI;ORTA
41.05677505;29.66018451;"=""15.19""";510.0;90.0;YUKSELTI;ORTA
